,# of features removed,AOPC-global,optimization
7,7,0.010586911520823802,0.5
8,8,0.01166831037622856,0.5
9,9,0.012618325886699398,0.5
10,10,0.013623861060606547,0.5
11,11,0.014612635253524976,0.5
12,12,0.015552917823411967,0.5
13,13,0.016410271617684,0.5
14,14,0.017239639349458276,0.5
15,15,0.01800764552247737,0.5
16,16,0.018739468170460672,0.5
17,17,0.019542804302993152,0.5
18,18,0.02013623893077539,0.5
19,19,0.02078845184725233,0.5
20,20,0.021523804955464618,0.5
21,21,0.02229430260914743,0.5
22,22,0.023003512409953956,0.5
23,23,0.02372057234728497,0.5
24,24,0.024450762245249193,0.5
25,25,0.02516244618233847,0.5
26,26,0.025829841294048115,0.5
27,27,0.026482175863813493,0.5
28,28,0.027106751957402725,0.5
29,29,0.02776392722364338,0.5
30,30,0.028462718872111555,0.5
