,# of features removed,AOPC-global,percent
3,3,0.0018734720215517696,25
4,4,0.0025954168830633296,25
5,5,0.003267872224382516,25
6,6,0.003922565150528147,25
7,7,0.004666965699001796,25
8,8,0.0057126149801033825,25
9,9,0.006797814436633048,25
10,10,0.007743007234443272,25
11,11,0.008543549307676694,25
12,12,0.009224867479324675,25
13,13,0.00996306174823326,25
14,14,0.010602975444400498,25
15,15,0.011216878654019574,25
16,16,0.011787324936717315,25
17,17,0.012335957293648324,25
18,18,0.012872514476595862,25
19,19,0.01336176600675908,25
20,20,0.013804912313081466,25
21,21,0.0142185293390227,25
22,22,0.014599225452658238,25
23,23,0.01494866101687311,25
24,24,0.015286707229125758,25
25,25,0.015637132590433978,25
26,26,0.015954981959201465,25
27,27,0.016270515845534204,25
28,28,0.01657520658005208,25
29,29,0.016882855563124768,25
30,30,0.01721216530016132,25
