# of features removed,AOPC-global,percent
5,0.0188023492995733,100
6,0.0197357300786335,100
7,0.0210818305042744,100
8,0.0237480086158427,100
9,0.0262974399803667,100
10,0.0283053404152834,100
11,0.0305678999484797,100
12,0.0337200833927513,100
13,0.0369381219471828,100
14,0.0403073285604467,100
15,0.0439891386563105,100
16,0.0478836244259516,100
17,0.0515732384622337,100
18,0.0550662444482407,100
19,0.0582643932073675,100
20,0.0613287998675216,100
21,0.0644236990039416,100
22,0.0672563567102854,100
23,0.0701538554919338,100
24,0.0730338691603551,100
25,0.0759425375169195,100
26,0.0786479985824013,100
27,0.0814127288027171,100
28,0.0841426258049575,100
29,0.0866732076804902,100
30,0.0891033851798658,100
