,# of features removed,AOPC-global,optimization
4,4,0.017855703556439728,stop-words-0.1
5,5,0.018802349299573327,stop-words-0.1
6,6,0.019735730078633513,stop-words-0.1
7,7,0.02108183050427448,stop-words-0.1
8,8,0.022062398927836516,stop-words-0.1
9,9,0.02337330400094282,stop-words-0.1
10,10,0.025008316509055193,stop-words-0.1
11,11,0.026877397801113857,stop-words-0.1
12,12,0.029235511467992345,stop-words-0.1
13,13,0.031429962495287185,stop-words-0.1
14,14,0.03347412914297288,stop-words-0.1
15,15,0.03564326006432128,stop-words-0.1
16,16,0.0374794158152675,stop-words-0.1
17,17,0.03917485658447306,stop-words-0.1
18,18,0.04079692736243786,stop-words-0.1
19,19,0.042384803089549214,stop-words-0.1
20,20,0.043909052548941854,stop-words-0.1
21,21,0.04527335593010146,stop-words-0.1
22,22,0.04659778028918674,stop-words-0.1
23,23,0.04779974845706141,stop-words-0.1
24,24,0.049109702240707466,stop-words-0.1
25,25,0.05040305301941132,stop-words-0.1
26,26,0.05159380660800732,stop-words-0.1
27,27,0.0527205419839197,stop-words-0.1
28,28,0.05379508433825049,stop-words-0.1
29,29,0.05497764574889087,stop-words-0.1
30,30,0.05610275020821652,stop-words-0.1
