,# of features removed,AOPC-global,percents-remove
5,5,0.05605540735455333,25
6,6,0.06687870794784663,25
7,7,0.07532931046175129,25
8,8,0.0823569663282479,25
9,9,0.08837688771018096,25
10,10,0.09435126743599848,25
11,11,0.09953410488869019,25
12,12,0.10454394306917575,25
13,13,0.10911475515088886,25
14,14,0.1132513646097093,25
15,15,0.11715943337515007,25
16,16,0.12082989010732306,25
17,17,0.12435066096157124,25
18,18,0.12774319291356356,25
19,19,0.13102811319531843,25
20,20,0.13421808449605352,25
21,21,0.1371983611736268,25
22,22,0.141395774738561,25
23,23,0.14606940952696643,25
24,24,0.15058235269167983,25
25,25,0.15476870593142958,25
26,26,0.15909185536235168,25
27,27,0.16322605018108322,25
28,28,0.1672156740996994,25
29,29,0.17123932647699883,25
30,30,0.17500338726852738,25
