,time (minutes),AOPC-global,optimization
1,0.267777262123928,0.12819255149795616,topk-masking-0.5
2,0.401665893185892,0.121640435489175,topk-masking-0.5
3,0.535554524247856,0.12405034038492413,topk-masking-0.5
4,0.6694431553098199,0.12405034038492413,topk-masking-0.5
5,0.803331786371784,0.11928449073232521,topk-masking-0.5
6,0.9372204174337481,0.11433130621296884,topk-masking-0.5
7,1.071109048495712,0.11474535673633242,topk-masking-0.5
8,1.204997679557676,0.115633717693313,topk-masking-0.5
9,1.3388863106196398,0.115633717693313,topk-masking-0.5
10,1.472774941681604,0.11196847035601112,topk-masking-0.5
11,1.606663572743568,0.11505686842548973,topk-masking-0.5
12,1.740552203805532,0.11505686842548973,topk-masking-0.5
13,1.8744408348674961,0.11513615737956591,topk-masking-0.5
14,2.00832946592946,0.11513615737956591,topk-masking-0.5
15,2.142218096991424,0.11513615737956591,topk-masking-0.5
16,2.2761067280533878,0.11513615737956591,topk-masking-0.5
17,2.409995359115352,0.11513615737956591,topk-masking-0.5
18,2.5438839901773163,0.11513615737956591,topk-masking-0.5
19,2.6777726212392796,0.11513615737956591,topk-masking-0.5
0,0.24646502261415715,0.11744580961473922,topk-desired-masking-0.1
1,0.4929300452283143,0.11182968816230571,topk-desired-masking-0.1
2,0.7393950678424714,0.10898692025843311,topk-desired-masking-0.1
3,0.9858600904566286,0.10541322303588634,topk-desired-masking-0.1
4,1.2323251130707857,0.10609684186358932,topk-desired-masking-0.1
5,1.4787901356849429,0.10434360823844285,topk-desired-masking-0.1
6,1.7252551582991,0.10116837351855741,topk-desired-masking-0.1
7,1.9717201809132572,0.10116837351855741,topk-desired-masking-0.1
8,2.2181852035274146,0.09669977073463877,topk-desired-masking-0.1
9,2.4646502261415715,0.09669977073463877,topk-desired-masking-0.1
10,2.7111152487557284,0.09300647253848839,topk-desired-masking-0.1
11,2.9575802713698858,0.09732237814130298,topk-desired-masking-0.1
12,3.204045293984043,0.09743675223463287,topk-desired-masking-0.1
13,3.4505103165982,0.09319032272288601,topk-desired-masking-0.1
14,3.6969753392123574,0.09319032272288601,topk-desired-masking-0.1
15,3.9434403618265144,0.09319032272288601,topk-desired-masking-0.1
16,4.189905384440672,0.09319032272288601,topk-desired-masking-0.1
17,4.436370407054829,0.09319032272288601,topk-desired-masking-0.1
18,4.6828354296689865,0.09319032272288601,topk-desired-masking-0.1
19,4.929300452283143,0.09753111280298606,topk-desired-masking-0.1
0,0.12931547331427168,0.1202735281619154,topk-desired-masking-0.5
1,0.25863094662854336,0.12563600970151328,topk-desired-masking-0.5
2,0.38794641994281504,0.12353726774623362,topk-desired-masking-0.5
3,0.5172618932570867,0.12205182157068818,topk-desired-masking-0.5
4,0.6465773665713584,0.12032014235827454,topk-desired-masking-0.5
5,0.7758928398856301,0.11985645069833022,topk-desired-masking-0.5
6,0.9052083131999018,0.11195664116790728,topk-desired-masking-0.5
7,1.0345237865141734,0.11155538599008943,topk-desired-masking-0.5
8,1.1638392598284453,0.11611422921043382,topk-desired-masking-0.5
9,1.293154733142717,0.11327327096887502,topk-desired-masking-0.5
10,1.4224702064569885,0.11275394331369903,topk-desired-masking-0.5
11,1.5517856797712601,0.11302917562270505,topk-desired-masking-0.5
12,1.681101153085532,0.1124390258579309,topk-desired-masking-0.5
13,1.8104166263998036,0.11351562317655002,topk-desired-masking-0.5
14,1.9397320997140752,0.10851813064238534,topk-desired-masking-0.5
15,2.069047573028347,0.10851813064238534,topk-desired-masking-0.5
16,2.1983630463426187,0.10851813064238534,topk-desired-masking-0.5
17,2.3276785196568905,0.10794284780825275,topk-desired-masking-0.5
18,2.456993992971162,0.10821493498332108,topk-desired-masking-0.5
19,2.586309466285434,0.10812115349658448,topk-desired-masking-0.5
0,0.7667700861227496,0.11427929782800471,0.1
1,1.533540172245499,0.11529029415379367,0.1
2,2.3003102583682487,0.12130052174558086,0.1
3,3.067080344490998,0.11939154937714268,0.1
4,3.833850430613748,0.11588160073466848,0.1
5,4.600620516736497,0.11723255905066263,0.1
6,5.367390602859248,0.12063587525652716,0.1
7,6.134160688981996,0.11792848560810758,0.1
8,6.900930775104747,0.11792848560810758,0.1
9,7.667700861227496,0.12092622519062729,0.1
10,8.434470947350245,0.12092622519062729,0.1
11,9.201241033472995,0.12092622519062729,0.1
12,9.968011119595745,0.12080357729299881,0.1
13,10.734781205718496,0.12080357729299881,0.1
14,11.501551291841245,0.1215443583269644,0.1
15,12.268321377963993,0.12047365798702979,0.1
16,13.035091464086745,0.1215443583269644,0.1
17,13.801861550209495,0.12162161044841278,0.1
18,14.568631636332244,0.12029082869507782,0.1
19,15.335401722454993,0.12029082869507782,0.1
0,0.24343303092783963,0.10688468353181686,0.5
1,0.48686606185567927,0.11227615029603982,0.5
2,0.7302990927835189,0.11647646423409747,0.5
3,0.9737321237113585,0.1388260886742072,0.5
4,1.2171651546391982,0.14082237227663705,0.5
5,1.4605981855670378,0.13536838352315705,0.5
6,1.7040312164948772,0.13444009003230403,0.5
7,1.947464247422717,0.13710623956043186,0.5
8,2.1908972783505565,0.13534608259747297,0.5
9,2.4343303092783963,0.13441182032779334,0.5
10,2.677763340206236,0.1367811055994579,0.5
11,2.9211963711340756,0.1367811055994579,0.5
12,3.1646294020619155,0.13776637589448282,0.5
13,3.4080624329897544,0.13670690093371154,0.5
14,3.6514954639175943,0.13415159046483863,0.5
15,3.894928494845434,0.13415159046483863,0.5
16,4.1383615257732735,0.13415159046483863,0.5
17,4.381794556701113,0.13313302892542253,0.5
18,4.625227587628953,0.13313302892542253,0.5
19,4.868660618556793,0.13313302892542253,0.5
0,0.47590431940098205,0.11499094254320805,topk-0.1
1,0.9518086388019641,0.12109817059123935,topk-0.1
2,1.4277129582029462,0.12193137518961741,topk-0.1
3,1.9036172776039282,0.12381081065000744,topk-0.1
4,2.3795215970049104,0.12327907129182436,topk-0.1
5,2.8554259164058924,0.12490158417898686,topk-0.1
6,3.3313302358068744,0.12767747812749697,topk-0.1
7,3.8072345552078564,0.12897198341585192,topk-0.1
8,4.283138874608839,0.12897198341585192,topk-0.1
9,4.759043194009821,0.12897198341585192,topk-0.1
10,5.234947513410803,0.12897198341585192,topk-0.1
11,5.710851832811785,0.1261345224731296,topk-0.1
12,6.186756152212768,0.12580893081070052,topk-0.1
13,6.662660471613749,0.12580893081070052,topk-0.1
14,7.138564791014732,0.12576578995013624,topk-0.1
15,7.614469110415713,0.12049008089362319,topk-0.1
16,8.090373429816696,0.12049008089362319,topk-0.1
17,8.566277749217678,0.12049008089362319,topk-0.1
18,9.04218206861866,0.12580893081070052,topk-0.1
19,9.518086388019642,0.12580893081070052,topk-0.1
0,0.1675325886786743,0.11291762261791978,topk-0.5
1,0.3350651773573486,0.14018251121426714,topk-0.5
2,0.5025977660360229,0.14385068096069678,topk-0.5
3,0.6701303547146972,0.1379680903095808,topk-0.5
4,0.8376629433933716,0.13768770224666155,topk-0.5
5,1.0051955320720458,0.13950839775591625,topk-0.5
6,1.17272812075072,0.138767060671478,topk-0.5
7,1.3402607094293943,0.13872740189573635,topk-0.5
8,1.5077932981080686,0.13759559223242965,topk-0.5
9,1.675325886786743,0.13759559223242965,topk-0.5
10,1.8428584754654174,0.13759559223242965,topk-0.5
11,2.0103910641440916,0.1365501304572214,topk-0.5
12,2.177923652822766,0.1365501304572214,topk-0.5
13,2.34545624150144,0.13227860012225134,topk-0.5
14,2.5129888301801144,0.12870970226769152,topk-0.5
15,2.6805214188587887,0.12870970226769152,topk-0.5
16,2.848054007537463,0.12870970226769152,topk-0.5
17,3.0155865962161372,0.1279232921000245,topk-0.5
18,3.183119184894812,0.1279232921000245,topk-0.5
19,3.350651773573486,0.12807976178550165,topk-0.5
0,0.35036025745891985,0.11510948936393839,desired-0.1
