,# of features removed,AOPC-global,percents-remove
3,3,0.018865628638802902,100
4,4,0.025439699116541935,100
5,5,0.02881723706111644,100
6,6,0.03213818603080384,100
7,7,0.03497346738708237,100
8,8,0.03764439226032172,100
9,9,0.04022822440671149,100
10,10,0.04296665186827837,100
11,11,0.04581830136033475,100
12,12,0.04829543504599187,100
13,13,0.050213388337438505,100
14,14,0.05211724575190764,100
15,15,0.05405588552405712,100
16,16,0.055980915456017605,100
17,17,0.057917397414743915,100
18,18,0.05969921177007995,100
19,19,0.0615292467405287,100
20,20,0.06334584791287405,100
21,21,0.06516069547785759,100
22,22,0.06680580852620628,100
23,23,0.06833759352373354,100
24,24,0.069946087670453,100
25,25,0.07158164191720534,100
26,26,0.07306665082821093,100
27,27,0.07454613231165018,100
28,28,0.07598104228981153,100
29,29,0.07740886591927411,100
30,30,0.07873393520918898,100
