,# of features removed,AOPC-global,percent
4,4,0.025513768612194797,50
5,5,0.02819080497376136,50
6,6,0.030339110366631273,50
7,7,0.033169575330877846,50
8,8,0.035549896613421686,50
9,9,0.03764099760978659,50
10,10,0.03948157656020095,50
11,11,0.04111540377510491,50
12,12,0.04259239935365793,50
13,13,0.04394957618405927,50
14,14,0.04519619439177506,50
15,15,0.04633353210486691,50
16,16,0.047422240310134034,50
17,17,0.048428094658584074,50
18,18,0.049376397832345785,50
19,19,0.05027509555691356,50
20,20,0.05111143463049822,50
21,21,0.05192112559703701,50
22,22,0.05265936058949862,50
23,23,0.053369995704230906,50
24,24,0.05409237814653627,50
25,25,0.05477648539377882,50
26,26,0.055430412672933374,50
27,27,0.05606401819057257,50
28,28,0.05668017921814246,50
29,29,0.05727251410475563,50
30,30,0.05784532898175919,50
