# of features removed,AOPC-global,percent
7,0.0316610860405439,50
8,0.0341280534978832,50
9,0.0362307631845159,50
10,0.0380255347754749,50
11,0.0396548669357635,50
12,0.0411651976545343,50
13,0.042517722668335,50
14,0.0437423092035055,50
15,0.0448734571031291,50
16,0.0459955838239072,50
17,0.0470190518576796,50
18,0.0479742731946931,50
19,0.0488498444646063,50
20,0.0497551880755971,50
21,0.0506206670801239,50
22,0.0514638320465216,50
23,0.0524821986391806,50
24,0.05347884085489,50
25,0.0545056370004611,50
26,0.0555164761139147,50
27,0.0564764987459905,50
28,0.0574340443745583,50
29,0.0583607723187562,50
30,0.0592514406260977,50
